s_m_title,HumDockScore,RatDockScore,ChimpDockScore,AVG,bindingClass,P_Act_dockChimp,P_Inact,PredBayes,ratio,cas,casrn,cid,gsid,BindingClass,avgD_Act,avgD_Inact,PredBindingClass,predMLogR,label
129453-61-8,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,129453-61-8,129453-61-8,2369,22369,1,0.8784,0.9241,0.806052149,1,Binders
83657-24-3,0,-9.064604353,-8.374596998,-5.813067117,1,0.197956248,0.097037252,1,2.04000262,83657-24-3,83657-24-3,20363,40363,1,0.8865,0.9136,0.49149431,0,Binders
72-33-3,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,72-33-3,72-33-3,814,20814,1,0.8667,0.9216,0.91763109,1,Binders
56-95-1,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,56-95-1,56-95-1,12345,32345,1,0.9088,0.9221,0.153651925,0,Binders
58-18-4,-10.18611432,0,-10.20360861,-6.796574312,1,0.164648343,0.021595591,1,7.624164715,58-18-4,58-18-4,13664,33664,1,0.8565,0.9259,0.986718291,1,Binders
82640-04-8,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,82640-04-8,82640-04-8,14181,34181,1,0.8743,0.9052,0.637224765,1,Binders
604-75-1,0,-10.01097067,-9.738353844,-6.583108171,1,0.18772348,0.034234676,1,5.483430872,604-75-1,604-75-1,1087,21087,1,0.8858,0.9151,0.659792194,1,Binders
460081-99-6,-7.189649727,0,0,-2.396549909,1,5.40354E-06,0.00241039,0,0.002241769,460081-99-6,460081-99-6,28484,48510,1,0.8963,0.9028,0.146021414,0,Binders
DB00858,-9.547145785,0,-10.26921047,-6.605452086,1,0.160885319,0.020150167,1,7.984316988,,DB00858,,,1,0.8876,0.9355,0.868176132,1,Binders
630-56-8,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,630-56-8,630-56-8,23915,43915,1,0.8589,0.9031,0.874451198,1,Binders
92-04-6,-9.138862114,-9.459213192,-8.791963908,-9.130013071,1,0.205260071,0.074078636,1,2.77084033,92-04-6,92-04-6,2353,22353,1,0.8772,0.9047,0.626610343,1,Binders
35554-44-0,-7.142207415,-7.995103815,-7.16728872,-7.43486665,1,0.137366568,0.166213485,0,0.826446592,35554-44-0,35554-44-0,4151,24151,1,0.9053,0.9263,0.133558712,0,Binders
2772-45-4,-11.54003557,0,0,-3.846678522,1,5.40354E-06,0.00241039,0,0.002241769,2772-45-4,2772-45-4,9241,29241,1,0.8841,0.9012,0.338367855,0,Binders
68-22-4,-10.115856,0,-9.850661642,-6.655505882,1,0.182833491,0.030781823,1,5.939657712,68-22-4,68-22-4,3380,23380,1,0.8657,0.9225,0.959043926,1,Binders
145742-28-5,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,145742-28-5,145742-28-5,27251,47251,1,0.8831,0.9082,0.474191723,0,Binders
85509-19-9,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,85509-19-9,85509-19-9,4235,24235,1,0.9097,0.9236,0.155180289,0,Binders
588941-45-1,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,588941-45-1,588941-45-1,28480,48506,1,0.8895,0.9059,0.291472877,0,Binders
156-10-5,-8.548790126,-7.629850798,-7.71683136,-7.965157428,1,0.170203454,0.136052441,1,1.251013604,156-10-5,156-10-5,1031,21031,1,0.9157,0.916,0.039233036,0,Binders
57-85-2,0,0,-10.3243393,-3.441446433,1,0.157650171,0.018994927,1,8.299593415,57-85-2,57-85-2,16515,36515,1,0.853,0.9094,0.972014986,1,Binders
59227-89-3,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,59227-89-3,59227-89-3,22086,42086,1,0.8947,0.8978,0.125298347,0,Binders
DB08804,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,,DB08804,,,1,0.8561,0.8937,0.830274798,1,Binders
90357-06-5,-11.83771005,0,-10.86312757,-7.566945875,1,0.123883188,0.010252794,1,12.08287121,90357-06-5,90357-06-5,820065,22678,1,0.8876,0.902,0.402485759,0,Binders
79622-59-6,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,79622-59-6,79622-59-6,12551,32551,1,0.9158,0.9385,0.214452857,0,Binders
4574-04-3,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,4574-04-3,4574-04-3,21289,41289,1,0.9373,0.9282,0.016183966,0,Binders
55-38-9,-7.020208546,-6.924075184,-7.077696101,-7.00732661,1,0.131644006,0.170516234,0,0.7720321,55-38-9,55-38-9,620,20620,1,0.9033,0.9177,0.090500629,0,Binders
97-56-3,-9.477814107,-4.285495712,-6.141272287,-6.634860702,1,0.074270103,0.1977595,0,0.375557702,97-56-3,97-56-3,69,20069,1,0.912,0.9146,0.021271278,0,Binders
78491-02-8,-5.918314452,-5.150282589,-6.132444602,-5.733680548,1,0.073788579,0.197831614,0,0.372986794,78491-02-8,78491-02-8,9559,29559,1,0.9038,0.9106,0.03588695,0,Binders
DB01481,-9.063961419,0,-9.398114922,-6.154025447,1,0.199233216,0.046352075,1,4.298258851,,DB01481,,,1,0.8752,0.9285,0.926603521,1,Binders
79983-71-4,0,-8.995588756,-8.832507711,-5.942698822,1,0.20547636,0.071995553,1,2.854014613,79983-71-4,79983-71-4,14653,34653,1,0.8753,0.9029,0.64654372,1,Binders
2465-27-2,-9.223893531,0,0,-3.074631177,1,5.40354E-06,0.00241039,0,0.002241769,2465-27-2,2465-27-2,114,20114,1,0.9126,0.917,0.08148707,0,Binders
2392-39-4,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,2392-39-4,2392-39-4,27429,47429,1,0.8797,0.9178,0.705702014,1,Binders
65277-42-1,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,65277-42-1,65277-42-1,9879,29879,1,0.8791,0.9097,0.59662747,1,Binders
577-11-7,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,577-11-7,577-11-7,2959,22959,1,0.9243,0.9039,0.011511819,0,Binders
72-54-8,-9.686578905,-9.337234072,-9.269004622,-9.4309392,1,0.202149252,0.051612094,1,3.916703181,72-54-8,72-54-8,373,20373,1,0.9115,0.9345,0.336667557,0,Binders
77-40-7,-10.0080193,-10.20464824,-10.07130841,-10.09465865,1,0.17190814,0.024753328,1,6.9448495,77-40-7,77-40-7,2442,22442,1,0.8734,0.8912,0.578168514,1,Binders
DB02901,-10.11672012,0,-11.16170544,-7.092808518,1,0.104851805,0.007063196,1,14.84481107,,DB02901,,,1,0.8776,0.9283,0.910193876,1,Binders
131-56-6,-9.792507201,-9.858417963,-9.232143295,-9.627689487,1,0.202824674,0.053180274,1,3.813908053,131-56-6,131-56-6,2406,22406,1,0.8662,0.882,0.564849167,1,Binders
60207-90-1,0,-9.052892021,-9.102726851,-6.051872957,1,0.2046281,0.058915894,1,3.473224019,60207-90-1,60207-90-1,4280,24280,1,0.8793,0.9173,0.783770324,1,Binders
83-79-4,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,83-79-4,83-79-4,1248,21248,1,0.8979,0.9224,0.351691876,0,Binders
DB01420,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,,DB01420,,,1,0.853,0.9074,0.943236997,1,Binders
53-43-0,-10.70280704,0,-10.50750338,-7.07010347,1,0.146509375,0.015527449,1,9.435508529,53-43-0,53-43-0,379,20379,1,0.8755,0.9259,0.918893897,1,Binders
72-55-9,-9.243420517,-9.563845697,-9.069470422,-9.292245545,1,0.204946762,0.060446661,1,3.390539009,72-55-9,72-55-9,374,20374,1,0.9047,0.926,0.343819972,0,Binders
599-64-4,-9.38070834,-9.649509575,-9.401391403,-9.477203106,1,0.199148288,0.046223326,1,4.308393742,599-64-4,599-64-4,2536,22536,1,0.8717,0.8927,0.618842675,1,Binders
15972-60-8,-7.161733674,0,0,-2.387244558,1,5.40354E-06,0.00241039,0,0.002241769,15972-60-8,15972-60-8,2265,22265,1,0.8768,0.8778,0.179812116,0,Binders
64359-81-5,-7.958135618,-7.764427692,0,-5.240854437,1,5.40354E-06,0.00241039,0,0.002241769,64359-81-5,64359-81-5,12315,32315,1,0.8917,0.8981,0.164193269,0,Binders
97-23-4,-10.92863236,0,-10.22636009,-7.051664149,1,0.163354573,0.021085464,1,7.747259963,97-23-4,97-23-4,1824,21824,1,0.8802,0.9085,0.691421013,1,Binders
DB06710,0,0,-12.00498179,-4.001660595,1,0.057601907,0.002188559,1,26.31955555,,DB06710,,,1,0.8585,0.9245,0.978790202,1,Binders
53-19-0,-9.612993658,-9.388513819,-9.276436595,-9.425981357,1,0.202004511,0.051299474,1,3.937750167,53-19-0,53-19-0,372,20372,1,0.9055,0.9271,0.358969425,0,Binders
112-00-5,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,112-00-5,112-00-5,6900,26900,1,0.9373,0.9282,0.016183966,0,Binders
18924-66-8,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,18924-66-8,18924-66-8,24865,44865,1,0.934,0.9177,0.011150026,0,Binders
57-83-0,0,0,-10.83333813,-3.611112711,1,0.125798382,0.010628293,1,11.83617927,57-83-0,57-83-0,2370,22370,1,0.8648,0.9242,0.965842449,1,Binders
143-50-0,0,0,-8.047856726,-2.682618909,1,0.186304313,0.116320883,1,1.601641149,143-50-0,143-50-0,770,20770,1,0.9369,0.9534,0.072356109,0,Binders
61-73-4,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,61-73-4,61-73-4,3296,23296,1,0.9078,0.9183,0.134460888,0,Binders
63612-50-0,-9.759444365,-9.05604484,-7.205820511,-8.673769905,1,0.139811864,0.164296106,0,0.850974909,63612-50-0,63612-50-0,14165,34165,1,0.894,0.9222,0.268064244,0,Binders
68392-35-8,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,68392-35-8,68392-35-8,28161,37094,1,0.8721,0.8862,0.379450237,0,Binders
81777-89-1,-8.707319552,-7.022325353,-8.088348657,-7.939331188,1,0.187999491,0.113900397,1,1.650560457,81777-89-1,81777-89-1,12355,32355,1,0.8664,0.8942,0.613718864,1,Binders
50-27-1,-12.08682454,-11.4167089,-13.79083039,-12.43145461,1,0.00868218,0.000102376,1,84.80690617,50-27-1,50-27-1,2366,22366,1,0.8676,0.9291,0.95757501,1,Binders
115-39-9,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,115-39-9,115-39-9,21682,41682,1,0.8997,0.9189,0.264367032,0,Binders
686756-87-6,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,686756-87-6,686756-87-6,28493,48519,1,0.8942,0.9153,0.326904002,0,Binders
2971-36-0,-9.835786392,-9.848064553,-10.87169793,-10.18518296,1,0.123332225,0.010146829,1,12.15475534,2971-36-0,2971-36-0,2325,22325,1,0.8954,0.9206,0.5200764,1,Binders
50-28-2,-10.56074377,-10.89029224,-11.97908663,-11.14337421,1,0.058836438,0.002274686,1,25.86574449,50-28-2,50-28-2,573,20573,1,0.861,0.9286,0.979429958,1,Binders
124-94-7,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,124-94-7,124-94-7,20742,40742,1,0.8754,0.9163,0.768181984,1,Binders
NOCAS_48505,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,,NOCAS_48505,28479,48505,1,0.8956,0.9132,0.268776886,0,Binders
57-97-6,-10.52851722,-10.44561457,-9.799630219,-10.25792067,1,0.185116342,0.032317846,1,5.727991427,57-97-6,57-97-6,510,20510,1,0.9085,0.9154,0.175497687,0,Binders
27955-94-8,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,27955-94-8,27955-94-8,17712,37712,1,0.879,0.9027,0.483161743,0,Binders
DB00624,0,0,-9.292390025,-3.097463342,1,0.201684166,0.050632448,1,3.983298737,,DB00624,,,1,0.8583,0.9264,0.982557179,1,Binders
NOCAS_47311,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,,NOCAS_47311,27311,47311,1,0.8854,0.9117,0.47608598,0,Binders
6088-51-3,-11.76465037,-9.885949186,0,-7.216866519,1,5.40354E-06,0.00241039,0,0.002241769,6088-51-3,6088-51-3,5429,25429,1,0.9048,0.9278,0.282867485,0,Binders
3844-45-9,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,3844-45-9,3844-45-9,189,20189,1,0.8862,0.9007,0.286779953,0,Binders
86-50-0,-6.088182158,-6.81952946,-6.43414532,-6.447285646,1,0.091082711,0.193256911,0,0.47130377,86-50-0,86-50-0,122,20122,1,0.8928,0.9021,0.064830389,0,Binders
298-00-0,-4.789693155,-4.70685682,-4.830096349,-4.775548775,1,0.022527428,0.168995419,0,0.133302005,298-00-0,298-00-0,855,20855,1,0.8933,0.9068,0.078070989,0,Binders
92-69-3,-8.724469709,-9.02028827,-8.354389199,-8.699715726,1,0.197377287,0.098206434,1,2.00982032,92-69-3,92-69-3,1152,21152,1,0.8879,0.9053,0.322954855,0,Binders
484-17-3,-9.682636676,-9.208241178,-9.162878095,-9.351251983,1,0.203900733,0.056205879,1,3.627747442,484-17-3,484-17-3,27592,47592,1,0.8979,0.913,0.307462222,0,Binders
68694-11-1,0,-8.95058291,-9.44547392,-6.132018943,1,0.197954251,0.044513981,1,4.447013,68694-11-1,68694-11-1,12500,32500,1,0.8851,0.9063,0.521332113,1,Binders
77-09-8,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,77-09-8,77-09-8,1125,21125,1,0.8883,0.915,0.459917922,0,Binders
5116-94-9,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,5116-94-9,5116-94-9,22169,42169,1,0.9157,0.8897,0.010397628,0,Binders
84-16-2,-10.31851886,-9.354712888,-10.85906701,-10.17743292,1,0.124144243,0.010303319,1,12.04895606,84-16-2,84-16-2,2381,22381,1,0.8695,0.8822,0.515990274,1,Binders
427-51-0,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,427-51-0,427-51-0,366,20366,1,0.8813,0.9174,0.665986475,1,Binders
112-63-0,0,0,-7.090250104,-2.363416701,1,0.132448292,0.169927011,0,0.779442248,112-63-0,112-63-0,843,20843,1,0.921,0.8953,0.003895558,0,Binders
2634-33-5,-6.674115369,-6.895560705,-6.363204134,-6.644293403,1,0.086871612,0.194717085,0,0.44614273,2634-33-5,2634-33-5,12523,32523,1,0.9076,0.9183,0.04426796,0,Binders
330-55-2,-7.56957231,-7.28268423,-6.682143396,-7.178133312,1,0.106350561,0.186404251,0,0.570537206,330-55-2,330-55-2,4163,24163,1,0.8792,0.8889,0.109675266,0,Binders
116255-48-2,-8.843124992,-8.676866995,-8.838425153,-8.786139047,1,0.205500441,0.071694022,1,2.866353917,116255-48-2,116255-48-2,12531,32531,1,0.8903,0.9339,0.769140812,1,Binders
521-18-6,-10.23432601,0,-12.38242343,-7.53891648,1,0.041439796,0.001223605,1,33.86697712,521-18-6,521-18-6,2364,22364,1,0.8909,0.9404,0.840148743,1,Binders
105624-86-0,0,0,-7.985438917,-2.661812972,1,0.183564396,0.120057697,1,1.528968159,105624-86-0,105624-86-0,26970,46970,1,0.8842,0.9015,0.294496031,0,Binders
705-60-2,-6.397957099,-6.413505882,-6.163266076,-6.324909686,1,0.075476712,0.19756337,0,0.382037988,705-60-2,705-60-2,196505,41188,1,0.8927,0.8915,0.030281286,0,Binders
53-03-2,0,0,-9.504202008,-3.168067336,1,0.196217175,0.042302913,1,4.638384481,53-03-2,53-03-2,1185,21185,1,0.8727,0.9193,0.89952787,1,Binders
50-41-9,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,50-41-9,50-41-9,337,20337,1,0.8859,0.8915,0.182803873,0,Binders
DB00367,-10.46179646,0,-9.993816367,-6.818537609,1,0.175927799,0.02675932,1,6.574449419,,DB00367,,,1,0.8664,0.914,0.926058482,1,Binders
57-63-6,-10.8371334,0,-11.97645208,-7.604528491,1,0.058962924,0.002283615,1,25.81999727,57-63-6,57-63-6,576,20576,1,0.8652,0.9275,0.966938733,1,Binders
361343-19-3,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,361343-19-3,361343-19-3,27277,47277,1,0.8979,0.9187,0.297478148,0,Binders
125225-28-7,0,0,-9.029742975,-3.009914325,1,0.205249004,0.062305144,1,3.294254568,125225-28-7,125225-28-7,14674,34674,1,0.8771,0.9164,0.804744615,1,Binders
2425-06-1,-7.737314003,-6.710985084,-8.139412361,-7.529237149,1,0.190041189,0.110855481,1,1.714314769,2425-06-1,2425-06-1,242,20242,1,0.9144,0.9373,0.206046137,0,Binders
2919-66-6,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,2919-66-6,2919-66-6,28158,48184,1,0.8798,0.9218,0.756309733,1,Binders
709-98-8,-7.896478891,-7.819121258,-6.823582132,-7.51306076,1,0.115331149,0.181364838,0,0.635906883,709-98-8,709-98-8,2111,22111,1,0.8686,0.875,0.129908761,0,Binders
126833-17-8,-9.214813535,-9.202937513,-9.885307496,-9.434352848,1,0.18122822,0.029769882,1,6.087636528,126833-17-8,126833-17-8,12549,32549,1,0.8703,0.8918,0.656573568,1,Binders
DB01541,-10.23462567,0,-9.534348004,-6.58965789,1,0.195261925,0.041197284,1,4.739679517,,DB01541,,,1,0.8722,0.9294,0.949025504,1,Binders
1478-61-1,-10.57630043,0,-8.790461618,-6.455587349,1,0.205250339,0.074156389,1,2.767803855,1478-61-1,1478-61-1,17717,37717,1,0.8983,0.9258,0.46246925,0,Binders
DB00687,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,,DB00687,,,1,0.8669,0.9155,0.878943083,1,Binders
520-36-5,-10.95245884,-10.75329666,-10.7195436,-10.80843304,1,0.133101681,0.01216909,1,10.93768606,520-36-5,520-36-5,2391,22391,1,0.8848,0.91,0.606012754,1,Binders
DB01406,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,,DB01406,,,1,0.8931,0.9413,0.755282953,1,Binders
126-72-7,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,126-72-7,126-72-7,1413,21413,1,0.9491,0.9388,0.010343627,0,Binders
55406-53-6,-4.666318784,0,-4.144683034,-2.937000606,1,0.010067412,0.131412728,0,0.07660911,55406-53-6,55406-53-6,8038,28038,1,0.9299,0.9092,0.003505372,0,Binders
34256-82-1,-8.31861732,0,-7.737061524,-5.351892948,1,0.171289256,0.134860751,1,1.270119395,34256-82-1,34256-82-1,3848,23848,1,0.8852,0.8857,0.099245092,0,Binders
79-94-7,-9.140385986,-10.03931061,-9.229050437,-9.469582345,1,0.202878118,0.053313184,1,3.805402405,79-94-7,79-94-7,6081,26081,1,0.9028,0.9202,0.312029555,0,Binders
797-63-7,-10.68168107,0,-11.35611014,-7.345930403,1,0.09287158,0.005476147,1,16.95929216,797-63-7,797-63-7,16496,36496,1,0.866,0.9156,0.929783726,1,Binders
67747-09-5,-9.102629432,0,-8.76762059,-5.956750007,1,0.205087275,0.075343478,1,2.722030897,67747-09-5,67747-09-5,4270,24270,1,0.8841,0.8939,0.289560561,0,Binders
23031-36-9,-8.88130763,0,0,-2.960435877,1,5.40354E-06,0.00241039,0,0.002241769,23031-36-9,23031-36-9,196509,32572,1,0.9065,0.92,0.165190681,0,Binders
NOCAS_47351,-3.390368354,0,-9.638266676,-4.342878343,1,0.191649464,0.037538024,1,5.105475617,,NOCAS_47351,27351,47351,1,0.9024,0.9197,0.335773662,0,Binders
50-55-5,-1.628479593,0,0,-0.542826531,1,5.40354E-06,0.00241039,0,0.002241769,50-55-5,50-55-5,1237,21237,1,0.8924,0.9143,0.351665477,0,Binders
13674-87-8,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,13674-87-8,13674-87-8,6261,26261,1,0.9529,0.9451,0.01083803,0,Binders
500-38-9,-12.43646669,-12.08548525,-12.80153538,-12.44116244,1,0.027500906,0.000615605,1,44.67297222,500-38-9,500-38-9,2437,22437,1,0.8877,0.8946,0.24434273,0,Binders
110488-70-5,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,110488-70-5,110488-70-5,14545,34545,1,0.8815,0.9015,0.402712196,0,Binders
789-02-6,0,0,-9.108324687,-3.036108229,1,0.204568599,0.05866049,1,3.487331895,789-02-6,789-02-6,2345,22345,1,0.901,0.9236,0.394705843,0,Binders
291305-06-1,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,291305-06-1,291305-06-1,27295,47295,1,0.8894,0.9165,0.45792865,0,Binders
DB06412,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,,DB06412,,,1,0.8882,0.9344,0.759157865,1,Binders
115-29-7,0,0,-7.72344294,-2.57448098,1,0.170559595,0.135663333,1,1.257226922,115-29-7,115-29-7,560,20560,1,0.9241,0.9495,0.144469974,0,Binders
13311-84-7,-8.405614856,-8.708494518,-7.375668395,-8.163259256,1,0.150411254,0.155422241,0,0.967758883,13311-84-7,13311-84-7,11121,32004,1,0.8881,0.9013,0.153823507,0,Binders
145-73-3,-7.465131117,-7.942905942,-7.357527211,-7.588521423,1,0.149296428,0.156399974,0,0.954580898,145-73-3,145-73-3,4081,24081,1,0.9346,0.9352,0.017429536,0,Binders
52806-53-8,-8.847919772,-8.858694641,-8.560146446,-8.755586953,1,0.202323535,0.086521963,1,2.338406665,52806-53-8,52806-53-8,13562,33562,1,0.8825,0.9009,0.405951595,0,Binders
114369-43-6,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,114369-43-6,114369-43-6,12548,32548,1,0.8989,0.9277,0.412087303,0,Binders
