s_sd_Canonical\_QSARr,s_m_title,HumDockScore,RatDockScore,ChimpDockScore,AVG,bindingClass,P_Act_dockChimp,P_Inact,PredBayes,ratio,cas,casrn,cid,gsid,dsstox_substance_id,preferred_name,Canonical_QSARr,InChI_Code_QSARr,InChI Key_QSARr,BindingClass,avgD_Act,avgD_Inact,PredBindingClass,predMLogR
CC(=O)CC(=O)N(C)C,2044-64-6,-3.191790331,-3.09822343,-3.366886084,-3.218966615,0,0.003469873,0.085803853,0,0.040439592,2044-64-6,2044-64-6,7454,27454,DTXSID8027454,"N,N-Dimethylacetoacetamide",CC(=O)CC(=O)N(C)C,"InChI=1S/C6H11NO2/c1-5(8)4-6(9)7(2)3/h4H2,1-3H3",YPEWWOUWRRQBAX-UHFFFAOYSA-N,0,0.939,0.9193,0.004005249,0
NC(O)=O,1111-78-0,-2.329459193,-2.241945732,-3.362059078,-2.644488001,0,0.003445281,0.08553716,0,0.040278181,1111-78-0,1111-78-0,7360,27360,DTXSID9027360,Ammonium carbamate,NC(O)=O,"InChI=1S/CH3NO2/c2-1(3)4/h2H2,(H,3,4)",KXDHJXZQYSOELW-UHFFFAOYSA-N,0,0.9535,0.9267,0.001581172,0
CCOCCO,110-80-5,-2.36803906,-2.041187984,-3.33235257,-2.580526538,0,0.00329728,0.083903365,0,0.039298539,110-80-5,110-80-5,4087,24087,DTXSID7024087,2-Ethoxyethanol,CCOCCO,"InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3",ZNQVEEAIQZEUHB-UHFFFAOYSA-N,0,0.9423,0.9192,0.002920594,0
COC(=O)CCCC(=O)OC,1119-40-0,-3.814805544,-3.855328502,-3.330642014,-3.666925353,0,0.00328893,0.083809686,0,0.039242842,1119-40-0,1119-40-0,5122,25122,DTXSID3025122,Dimethyl glutarate,COC(=O)CCCC(=O)OC,"InChI=1S/C7H12O4/c1-10-6(8)4-3-5-7(9)11-2/h3-5H2,1-2H3",XTDYIOOONNVFMA-UHFFFAOYSA-N,0,0.9265,0.8963,0.002994679,0
ClCCOP(OCCCl)OCCCl,140-08-9,-3.452239104,0,-3.329969164,-2.260736089,0,0.003285651,0.08377285,0,0.039220954,140-08-9,140-08-9,6258,26258,DTXSID0026258,Tris(2-chloroethyl) phosphite,ClCCOP(OCCCl)OCCCl,InChI=1S/C6H12Cl3O3P/c7-1-4-10-13(11-5-2-8)12-6-3-9/h1-6H2,LUVCTYHBTXSAMX-UHFFFAOYSA-N,0,0.9686,0.9615,0.003711455,0
Oc1[n]c(O)[n]c(O)[n]1,108-80-5,-4.547063221,-4.503301696,-3.31911357,-4.123159496,0,0.003233142,0.083179483,0,0.038869461,108-80-5,108-80-5,4873,24873,DTXSID7024873,Cyanuric acid,Oc1[n]c(O)[n]c(O)[n]1,"InChI=1S/C3H3N3O3/c7-1-4-2(8)6-3(9)5-1/h(H3,4,5,6,7,8,9)",ZFSLODLOARCGLH-UHFFFAOYSA-N,0,0.9477,0.9527,0.016036666,0
CN(N=O)C(N)=O,684-93-5,-2.760858458,-2.876209161,-3.292587645,-2.976551755,0,0.003107928,0.081737167,0,0.038023433,684-93-5,684-93-5,1006,21006,DTXSID4021006,N-Nitroso-N-methylurea,CN(N=O)C(N)=O,"InChI=1S/C2H5N3O2/c1-5(4-7)2(3)6/h1H3,(H2,3,6)",ZRKWMRDKSOPRRS-UHFFFAOYSA-N,0,0.9485,0.9268,0.002682899,0
CCCCOCCOC(C)=O,112-07-2,-3.617149104,-3.687294467,-3.28273879,-3.529060787,0,0.003062536,0.081204437,0,0.037713897,112-07-2,112-07-2,6904,26904,DTXSID1026904,2-Butoxyethyl acetate,CCCCOCCOC(C)=O,"InChI=1S/C8H16O3/c1-3-4-5-10-6-7-11-8(2)9/h3-7H2,1-2H3",NQBXSWAWVZHKBZ-UHFFFAOYSA-N,0,0.9202,0.8906,0.003881114,0
O=C1CCCO1,96-48-0,-3.709104156,-8.592296838,-3.275792013,-5.192397669,0,0.003030871,0.080829604,0,0.037497046,96-48-0,96-48-0,224,20224,DTXSID6020224,4-Butyrolactone,O=C1CCCO1,InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2,YEJRWHAVMIAJKC-UHFFFAOYSA-N,0,0.9353,0.9449,0.032363849,0
CCCCCCCOC(=O)CCC,5870-93-9,-4.178900924,-3.786826517,-3.275174495,-3.746967312,0,0.003028071,0.080796321,0,0.037477828,5870-93-9,5870-93-9,22038,42038,DTXSID0042038,Heptyl butanoate,CCCCCCCOC(=O)CCC,"InChI=1S/C11H22O2/c1-3-5-6-7-8-10-13-11(12)9-4-2/h3-10H2,1-2H3",JPQHLIYIQARLQM-UHFFFAOYSA-N,0,0.9218,0.8847,0.002244007,0
CSC(C)(C)CN=O,1646-75-9,-3.602074063,-3.57940874,-3.268805933,-3.483429578,0,0.002999319,0.080453426,0,0.037280192,1646-75-9,1646-75-9,4431,24431,DTXSID9024431,Aldicarb oxime,CSC(C)(C)CN=O,"InChI=1S/C5H11NOS/c1-5(2,8-3)4-6-7/h4H2,1-3H3",YKGXIGMQHJBDGN-UHFFFAOYSA-N,0,0.9434,0.937,0.008816646,0
CC(=O)OCCOC(C)=O,111-55-7,-2.859547958,-2.886156095,-3.258826832,-3.001510295,0,0.002954752,0.079917444,0,0.036972549,111-55-7,111-55-7,6880,26880,DTXSID0026880,"1,2-Ethanediol diacetate",CC(=O)OCCOC(C)=O,"InChI=1S/C6H10O4/c1-5(7)9-3-4-10-6(2)8/h3-4H2,1-2H3",JTXMVXSTHSMVQF-UHFFFAOYSA-N,0,0.9325,0.8977,0.001879845,0
CC(=O)OCCOCCOCCOC(C)=O,111-21-7,-2.637618173,-2.641544077,-3.242135534,-2.840432595,0,0.002881512,0.079024562,0,0.036463494,111-21-7,111-21-7,6223,26223,DTXSID3026223,Triethylene glycol diacetate,CC(=O)OCCOCCOCCOC(C)=O,"InChI=1S/C10H18O6/c1-9(11)15-7-5-13-3-4-14-6-8-16-10(2)12/h3-8H2,1-2H3",OVOUKWFJRHALDD-UHFFFAOYSA-N,0,0.9353,0.9038,0.002160648,0
CCOC(=O)CCC(=O)OCC,123-25-1,-3.34577257,-3.368963365,-3.234284623,-3.316340186,0,0.00284762,0.078606168,0,0.036226421,123-25-1,123-25-1,18732,38732,DTXSID2038732,Diethyl butanedioate,CCOC(=O)CCC(=O)OCC,"InChI=1S/C8H14O4/c1-3-11-7(9)5-6-8(10)12-4-2/h3-6H2,1-2H3",DKMROQRQHGEIOW-UHFFFAOYSA-N,0,0.9261,0.8913,0.002324782,0
Nc1[n]c[nH][n]1,61-82-5,-4.052963525,-3.106201531,-3.228534638,-3.462566564,0,0.002823022,0.078300386,0,0.036053743,61-82-5,61-82-5,76,20076,DTXSID0020076,Amitrole,Nc1[n]c[nH][n]1,"InChI=1S/C2H4N4/c3-2-4-1-5-6-2/h1H,(H3,3,4,5,6)",KLSJWNVTNUYHDU-UHFFFAOYSA-N,0,0.9442,0.9399,0.010052851,0
CNC(=S)NC,534-13-4,-3.543015137,-3.995411295,-3.21720478,-3.585210404,0,0.002775102,0.077699484,0,0.035715836,534-13-4,534-13-4,22191,42191,DTXSID2042191,"N,N'-Dimethylthiourea",CNC(=S)NC,"InChI=1S/C3H8N2S/c1-4-3(6)5-2/h1-2H3,(H2,4,5,6)",VLCDUOXHFNUCKK-UHFFFAOYSA-N,0,0.9662,0.9544,0.003070033,0
NC(N)=S,62-56-6,-3.268580764,-3.772992018,-3.210363963,-3.417312248,0,0.002746518,0.077337712,0,0.035513308,62-56-6,62-56-6,1348,21348,DTXSID9021348,Thiourea,NC(N)=S,"InChI=1S/CH4N2S/c2-1(3)4/h(H4,2,3,4)",UMGDCJDMYOKAJW-UHFFFAOYSA-N,0,0.9854,0.9751,0.001856953,0
C[N+](C)(C)CC1CO1,3033-77-0,-0.776117962,-2.676678389,-3.209862851,-2.220886401,0,0.002744434,0.077311243,0,0.035498516,3033-77-0,3033-77-0,24643,44643,DTXSID1044643,"N,N,N-Trimethyl(oxiran-2-yl)methanaminium chloride",C[N+](C)(C)CC1CO1,"InChI=1S/C6H14NO/c1-7(2,3)4-6-5-8-6/h6H,4-5H2,1-3H3/q+1",LRQFRDLKOBFOSG-UHFFFAOYSA-N,0,0.9502,0.9509,0.011694007,0
CC(N)=O,60-35-5,-2.581970746,-3.007707813,-3.2085467,-2.932741753,0,0.002738969,0.077241741,0,0.035459695,60-35-5,60-35-5,5,20005,DTXSID7020005,Acetamide,CC(N)=O,"InChI=1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)",DLFVBJFMPXGRIB-UHFFFAOYSA-N,0,0.9474,0.9175,0.00166452,0
,124-40-3,0,0,-3.20366817,-1.06788939,0,0.002718792,0.076984378,0,0.035316156,124-40-3,124-40-3,4057,24057,DTXSID5024057,Dimethylamine,CNC,"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3",ROSDSFDQCJNGOL-UHFFFAOYSA-N,0,0.972,0.965,0.003542539,0
CCOC(=O)CCC,105-54-4,-3.317748861,-3.457975648,-3.162515426,-3.312746645,0,0.002553762,0.074829701,0,0.034127647,105-54-4,105-54-4,20111,40111,DTXSID6040111,Ethyl butyrate,CCOC(=O)CCC,"InChI=1S/C6H12O2/c1-3-5-6(7)8-4-2/h3-5H2,1-2H3",OBNCKNCVKJNDBV-UHFFFAOYSA-N,0,0.9264,0.892,0.002437443,0
CC(C)OC=O,625-55-8,-2.685588545,-2.641131106,-3.157964064,-2.828227905,0,0.002536066,0.074593215,0,0.033998619,625-55-8,625-55-8,7258,27258,DTXSID2027258,Isopropyl formate,CC(C)OC=O,"InChI=1S/C4H8O2/c1-4(2)6-3-5/h3-4H,1-2H3",RMOUBSOVHSONPZ-UHFFFAOYSA-N,0,0.9524,0.9348,0.003301626,0
N#CCC#N,109-77-3,-3.407011206,-3.442966905,-3.133174892,-3.327717668,0,0.002441583,0.073311645,0,0.033304158,109-77-3,109-77-3,1907,21907,DTXSID6021907,Propanedinitrile,N#CCC#N,InChI=1S/C3H2N2/c4-2-1-3-5/h1H2,CUONGYYJJVDODC-UHFFFAOYSA-N,0,0.9791,0.9754,0.003634464,0
OCC#CCO,110-65-6,-2.694226212,-2.731159798,-3.081543227,-2.835643079,0,0.002254756,0.07067808,0,0.031901773,110-65-6,110-65-6,1921,21921,DTXSID4021921,"2-Butyne-1,4-diol",OCC#CCO,"InChI=1S/C4H6O2/c5-3-1-2-4-6/h5-6H,3-4H2",DLDJFQGPPSQZKI-UHFFFAOYSA-N,0,0.9686,0.958,0.003260983,0
CCCCCCOCCO,112-25-4,-2.071787936,-2.522767067,-3.043181865,-2.545912289,0,0.002124292,0.068753458,0,0.030897233,112-25-4,112-25-4,6908,26908,DTXSID1026908,2-(Hexyloxy)ethanol,CCCCCCOCCO,"InChI=1S/C8H18O2/c1-2-3-4-5-7-10-8-6-9/h9H,2-8H2,1H3",UPGSWASWQBLSKZ-UHFFFAOYSA-N,0,0.9291,0.9047,0.004579164,0
NC(=N)NC#N,461-58-5,-2.557161451,-3.635801382,-3.042026915,-3.078329916,0,0.00212047,0.068695945,0,0.030867472,461-58-5,461-58-5,354,20354,DTXSID1020354,Cyanoguanidine,NC(=N)NC#N,"InChI=1S/C2H4N4/c3-1-6-2(4)5/h(H4,4,5,6)",QGBSISYHAICWAH-UHFFFAOYSA-N,0,0.9793,0.9728,0.003108421,0
O=CCCCC=O,111-30-8,-2.765198112,-2.81292716,-3.034316236,-2.870813836,0,0.002095114,0.06831263,0,0.030669496,111-30-8,111-30-8,5355,25355,DTXSID6025355,Glutaraldehyde,O=CCCCC=O,"InChI=1S/C5H8O2/c6-4-2-1-3-5-7/h4-5H,1-3H2",SXRSQZLOMIGNAQ-UHFFFAOYSA-N,0,0.9658,0.9488,0.002367697,0
CCCCOC(=O)C=C,141-32-2,-3.192042173,-3.295554718,-3.030544274,-3.172713722,0,0.002082809,0.068125532,0,0.030573099,141-32-2,141-32-2,4676,24676,DTXSID6024676,Butyl acrylate,CCCCOC(=O)C=C,"InChI=1S/C7H12O2/c1-3-5-6-9-7(8)4-2/h4H,2-3,5-6H2,1H3",CQEYYJKEWSMYFG-UHFFFAOYSA-N,0,0.9252,0.8909,0.002688444,0
CCOC(=O)CC(=O)OCC,105-53-3,-3.045257623,-3.074473206,-3.013385869,-3.044372233,0,0.002027642,0.067277892,0,0.03013831,105-53-3,105-53-3,1863,21863,DTXSID7021863,Diethyl propanedioate,CCOC(=O)CC(=O)OCC,"InChI=1S/C7H12O4/c1-3-10-6(8)5-7(9)11-4-2/h3-5H2,1-2H3",IYXGSMUGOJNHAZ-UHFFFAOYSA-N,0,0.9283,0.8945,0.00253787,0
NC(=O)NO,127-07-1,-3.161985791,-3.610911405,-3.008233943,-3.260377047,0,0.002011334,0.067024494,0,0.030008941,127-07-1,127-07-1,5438,25438,DTXSID6025438,Hydroxyurea,NC(=O)NO,"InChI=1S/CH4N2O2/c2-1(4)3-5/h5H,(H3,2,3,4)",VSNHCAURESNICA-UHFFFAOYSA-N,0,0.9541,0.9326,0.00256206,0
CCCCCCCCCC(C)=O,112-12-9,-3.749515658,-3.997449496,-3.005323605,-3.584096253,0,0.002002173,0.066881576,0,0.029936099,112-12-9,112-12-9,1943,21943,DTXSID2021943,2-Undecanone,CCCCCCCCCC(C)=O,"InChI=1S/C11H22O/c1-3-4-5-6-7-8-9-10-11(2)12/h3-10H2,1-2H3",KYWIYKKSMDLRDC-UHFFFAOYSA-N,0,0.9221,0.888,0.003034409,0
,100-97-0,0,0,-3.002981697,-1.000993899,0,0.001994829,0.066766692,0,0.029877609,100-97-0,100-97-0,692,20692,DTXSID6020692,Methenamine,C1N2CN3CN1CN(C2)C3,InChI=1S/C6H12N4/c1-7-2-9-4-8(1)5-10(3-7)6-9/h1-6H2,VKYKSIONXSXAKP-UHFFFAOYSA-N,0,0.9663,0.9709,0.009944657,0
CC(C)C#N,78-82-0,-2.719158221,-2.77847107,-2.996345192,-2.831324828,0,0.001974147,0.066441714,0,0.029712465,78-82-0,78-82-0,6461,26461,DTXSID5026461,2-Methylpropanenitrile,CC(C)C#N,"InChI=1S/C4H7N/c1-4(2)3-5/h4H,1-2H3",LRDFRRGEGBBSRN-UHFFFAOYSA-N,0,0.9688,0.9612,0.004094452,0
NC(N)=O,57-13-6,-2.374140539,-3.063692457,-2.986960946,-2.808264647,0,0.001945229,0.065983655,0,0.029480463,57-13-6,57-13-6,1426,21426,DTXSID4021426,Urea,NC(N)=O,"InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)",XSQUKJJJFZCRTK-UHFFFAOYSA-N,0,0.9606,0.9358,0.001687905,0
CCOC(N)=O,51-79-6,-3.016128284,-3.344346402,-2.98687338,-3.115782688,0,0.001944961,0.065979389,0,0.029478306,51-79-6,51-79-6,1427,21427,DTXSID9021427,Urethane,CCOC(N)=O,"InChI=1S/C3H7NO2/c1-2-6-3(4)5/h2H2,1H3,(H2,4,5)",JOYRKODLDBILNP-UHFFFAOYSA-N,0,0.9192,0.8863,0.003628118,0
COc1ccc(N)cc1,20265-97-8,-4.517357649,-4.370301242,-2.97160885,-3.953089247,0,0.001898734,0.065238028,0,0.029104718,20265-97-8,20265-97-8,93,20093,DTXSID3020093,4-Methoxyaniline hydrochloride,COc1ccc(N)cc1,"InChI=1S/C7H9NO/c1-9-7-4-2-6(8)3-5-7/h2-5H,8H2,1H3",BHAAPTBBJKJZER-UHFFFAOYSA-N,0,0.9073,0.9025,0.033839289,0
,75-64-9,0,-3.337677571,-2.955073745,-2.097583772,0,0.00184977,0.064440161,0,0.028705237,75-64-9,75-64-9,4681,24681,DTXSID5024681,tert-Butylamine,CC(C)(C)N,"InChI=1S/C4H11N/c1-4(2,3)5/h5H2,1-3H3",YBRBMKDOPFTVDT-UHFFFAOYSA-N,0,0.9693,0.9602,0.003705476,0
c1[nH]cc[n]1,288-32-4,-2.888220098,-2.897052353,-2.945172211,-2.910148221,0,0.001820993,0.06396499,0,0.028468582,288-32-4,288-32-4,9616,29616,DTXSID2029616,Imidazole,c1[nH]cc[n]1,"InChI=1S/C3H4N2/c1-2-5-3-4-1/h1-3H,(H,4,5)",RAXXELZNTBOGNW-UHFFFAOYSA-N,0,0.9438,0.9494,0.021888307,0
CCOP(=O)(OCC)OCC,78-40-0,-3.090745313,-3.073777114,-2.933350313,-3.032624247,0,0.001787158,0.063400233,0,0.028188516,78-40-0,78-40-0,6228,26228,DTXSID8026228,Triethyl phosphate,CCOP(=O)(OCC)OCC,"InChI=1S/C6H15O4P/c1-4-8-11(7,9-5-2)10-6-3/h4-6H2,1-3H3",DQWPFSLDHJDLRL-UHFFFAOYSA-N,0,0.9312,0.9052,0.00402049,0
O=C=NCCCCCCN=C=O,822-06-0,-2.578566249,-2.553899476,-2.928270006,-2.686911911,0,0.001772792,0.063158399,0,0.028068988,822-06-0,822-06-0,4143,24143,DTXSID4024143,"1,6-Diisocyanatohexane",O=C=NCCCCCCN=C=O,InChI=1S/C8H12N2O2/c11-7-9-5-3-1-2-4-6-10-8-12/h1-6H2,RRAMGCGOFNQTLD-UHFFFAOYSA-N,0,0.9619,0.9532,0.004853821,0
CCOc1ccc(N)cc1,156-43-4,-4.472409867,-4.354239797,-2.914872912,-3.913840859,0,0.001735402,0.062523167,0,0.027756147,156-43-4,156-43-4,5864,25864,DTXSID0025864,4-Ethoxyaniline,CCOc1ccc(N)cc1,"InChI=1S/C8H11NO/c1-2-10-8-5-3-7(9)4-6-8/h3-6H,2,9H2,1H3",IMPPGHMHELILKG-UHFFFAOYSA-N,0,0.8978,0.8889,0.035434781,0
COC(=O)CC(=O)OC,108-59-8,-2.609364838,-2.515578572,-2.912782443,-2.679241951,0,0.001729632,0.062424374,0,0.027707639,108-59-8,108-59-8,9145,29145,DTXSID4029145,Dimethyl malonate,COC(=O)CC(=O)OC,"InChI=1S/C5H8O4/c1-8-4(6)3-5(7)9-2/h3H2,1-2H3",BEPAFCGSDWSTEL-UHFFFAOYSA-N,0,0.9291,0.9004,0.003615677,0
CC(=C)C#N,126-98-7,-2.748476184,-2.705258741,-2.897670032,-2.783801652,0,0.001688426,0.061712821,0,0.027359412,126-98-7,126-98-7,4176,24176,DTXSID1024176,Methacrylonitrile,CC(=C)C#N,"InChI=1S/C4H5N/c1-4(2)3-5/h1H2,2H3",GYCMBHHDWRMZGG-UHFFFAOYSA-N,0,0.9651,0.9569,0.004589993,0
OC(=O)C(O)=O,144-62-7,-3.629226221,-2.41788415,-2.878928603,-2.975346324,0,0.001638549,0.060836878,0,0.026933481,144-62-7,144-62-7,5816,25816,DTXSID0025816,Oxalic acid,OC(=O)C(O)=O,"InChI=1S/C2H2O4/c3-1(4)2(5)6/h(H,3,4)(H,5,6)",MUBZPKHOEPUJKR-UHFFFAOYSA-N,0,0.9515,0.9296,0.002844983,0
CP(=O)(OC)OC,756-79-6,-1.547352009,-2.192323388,-2.876264875,-2.205313424,0,0.001631568,0.060712964,0,0.02687347,756-79-6,756-79-6,494,20494,DTXSID0020494,Dimethyl methylphosphonate,CP(=O)(OC)OC,"InChI=1S/C3H9O3P/c1-5-7(3,4)6-2/h1-3H3",VONWDASPFIQPDY-UHFFFAOYSA-N,0,0.9536,0.94,0.004636861,0
CN(C)N,57-14-7,-2.361421165,-2.558039293,-2.866107509,-2.595189322,0,0.001605193,0.060241797,0,0.026645828,57-14-7,57-14-7,516,20516,DTXSID1020516,"1,1-Dimethylhydrazine",CN(C)N,"InChI=1S/C2H8N2/c1-4(2)3/h3H2,1-2H3",RHUYHJGZWVXEHW-UHFFFAOYSA-N,0,0.9747,0.9636,0.002828178,0
COC(=O)CCC(=O)OC,106-65-0,-2.718361835,-2.788907407,-2.865872632,-2.791047291,0,0.001604587,0.060230927,0,0.026640586,106-65-0,106-65-0,5152,25152,DTXSID5025152,Dimethyl succinate,COC(=O)CCC(=O)OC,"InChI=1S/C6H10O4/c1-9-5(7)3-4-6(8)10-2/h3-4H2,1-2H3",MUXOBHXGJLMRAB-UHFFFAOYSA-N,0,0.9255,0.8965,0.004039872,0
c1[nH][n]c[n]1,288-88-0,-2.731393647,-3.144898284,-2.86312337,-2.913138434,0,0.001597517,0.060103777,0,0.026579306,288-88-0,288-88-0,7131,27131,DTXSID6027131,"1H-1,2,4-Triazole",c1[nH][n]c[n]1,"InChI=1S/C2H3N3/c1-3-2-5-4-1/h1-2H,(H,3,4,5)",NSPMIYGKQJPBQR-UHFFFAOYSA-N,0,0.945,0.9507,0.021881546,0
NC#N,420-04-2,-2.060610641,-2.143246408,-2.788029472,-2.33062884,0,0.001414887,0.056691645,0,0.024957597,420-04-2,420-04-2,14490,34490,DTXSID9034490,Cyanamide,NC#N,InChI=1S/CH2N2/c2-1-3/h2H2,XZMCDFZZKTWFGF-UHFFFAOYSA-N,0,0.9901,0.9868,0.003013331,0
CC(O)=O,64-19-7,-1.840384816,-2.133645235,-2.785371304,-2.253133785,0,0.001408781,0.056573032,0,0.024901994,64-19-7,64-19-7,4394,24394,DTXSID5024394,Acetic acid,CC(O)=O,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",QTBSBXVTEAMEQO-UHFFFAOYSA-N,0,0.9346,0.9053,0.003060586,0
CCCCN=O,110-69-0,-2.952492581,-2.957121864,-2.773584678,-2.894399707,0,0.001381992,0.05604889,0,0.024656899,110-69-0,110-69-0,4664,24664,DTXSID2024664,Butanal oxime,CCCCN=O,"InChI=1S/C4H9NO/c1-2-3-4-5-6/h2-4H2,1H3",VVGONFMJWMFEMZ-UHFFFAOYSA-N,0,0.9428,0.9177,0.003141085,0
CCOC(OCC)OCC,122-51-0,-2.954781723,0,-2.764037744,-1.906273156,0,0.00136063,0.055626505,0,0.024460101,122-51-0,122-51-0,21957,41957,DTXSID8041957,Ethyl orthoformate,CCOC(OCC)OCC,"InChI=1S/C7H16O3/c1-4-8-7(9-5-2)10-6-3/h7H,4-6H2,1-3H3",GKASDNZWUGIAMG-UHFFFAOYSA-N,0,0.951,0.9296,0.00311536,0
CSCCC=O,3268-49-3,-2.188033815,-2.198378139,-2.762934989,-2.383115648,0,0.001358182,0.055577841,0,0.024437468,3268-49-3,3268-49-3,7528,27528,DTXSID9027528,3-(Methylthio)propanal,CSCCC=O,"InChI=1S/C4H8OS/c1-6-4-2-3-5/h3H,2,4H2,1H3",CLUWOWRTHNNBBU-UHFFFAOYSA-N,0,0.9536,0.9396,0.004703723,0
CCOCCOC(C)=O,111-15-9,-2.398319668,-2.384679375,-2.746701562,-2.509900202,0,0.001322598,0.054864457,0,0.024106642,111-15-9,111-15-9,1928,21928,DTXSID9021928,2-Ethoxyethyl acetate,CCOCCOC(C)=O,"InChI=1S/C6H12O3/c1-3-8-4-5-9-6(2)7/h3-5H2,1-2H3",SVONRAPFKPVNKG-UHFFFAOYSA-N,0,0.9299,0.9007,0.00362224,0
,512-56-1,0,-2.289302977,-2.716923189,-1.668742055,0,0.0012595,0.053570472,0,0.023511085,512-56-1,512-56-1,1403,21403,DTXSID1021403,Trimethyl phosphate,COP(=O)(OC)OC,"InChI=1S/C3H9O4P/c1-5-8(4,6-2)7-3/h1-3H3",WVLBCYQITXONBZ-UHFFFAOYSA-N,0,0.9525,0.9378,0.004722564,0
C=CCN=C=S,57-06-7,-2.820922782,-2.922934066,-2.697172621,-2.813676489,0,0.001219161,0.052722728,0,0.023124014,57-06-7,57-06-7,47,20047,DTXSID3020047,Allyl isothiocyanate,C=CCN=C=S,"InChI=1S/C4H5NS/c1-2-3-5-4-6/h2H,1,3H2",ZOJBYZNEUISWFT-UHFFFAOYSA-N,0,0.9773,0.9735,0.004503003,0
CN(C)NC(=O)CCC(O)=O,1596-84-5,-3.941554985,-4.353768535,-2.687265367,-3.660862962,0,0.001199369,0.052300648,0,0.022932197,1596-84-5,1596-84-5,370,20370,DTXSID9020370,Daminozide,CN(C)NC(=O)CCC(O)=O,"InChI=1S/C6H12N2O3/c1-8(2)7-5(9)3-4-6(10)11/h3-4H2,1-2H3,(H,7,9)(H,10,11)",NOQGZXFMHARMLW-UHFFFAOYSA-N,0,0.9306,0.9089,0.00596135,0
ClCCOCCCl,111-44-4,-2.679466906,-2.662988218,-2.678033895,-2.67349634,0,0.001181188,0.051909265,0,0.02275486,111-44-4,111-44-4,168,20168,DTXSID9020168,Bis(2-chloroethyl) ether,ClCCOCCCl,InChI=1S/C4H8Cl2O/c5-1-3-7-4-2-6/h1-4H2,ZNSMNVMLTJELDZ-UHFFFAOYSA-N,0,0.9689,0.9583,0.003752511,0
O=NN1CCCC1,930-55-2,-2.669983247,-2.662616053,-2.658017493,-2.663538931,0,0.001142619,0.051066969,0,0.02237492,930-55-2,930-55-2,1062,21062,DTXSID8021062,N-Nitrosopyrrolidine,O=NN1CCCC1,InChI=1S/C4H8N2O/c7-5-6-3-1-2-4-6/h1-4H2,WNYADZVDBIBLJJ-UHFFFAOYSA-N,0,0.9537,0.9538,0.012399025,0
COP(=O)OC,868-85-9,-2.315972109,-2.013799991,-2.652714291,-2.327495464,0,0.001132593,0.050845263,0,0.022275298,868-85-9,868-85-9,493,20493,DTXSID5020493,Dimethyl hydrogen phosphite,COP(=O)OC,"InChI=1S/C2H7O3P/c1-4-6(3)5-2/h6H,1-2H3",HZCDANOFLILNSA-UHFFFAOYSA-N,0,0.954,0.9399,0.004791532,0
COC(N)=O,598-55-0,-1.81741254,-2.220542793,-2.651599592,-2.229851642,0,0.001130496,0.050798739,0,0.022254413,598-55-0,598-55-0,834,20834,DTXSID8020834,Methyl carbamate,COC(N)=O,"InChI=1S/C2H5NO2/c1-5-2(3)4/h1H3,(H2,3,4)",GTCAXTIRRLKXRU-UHFFFAOYSA-N,0,0.9396,0.9096,0.002612543,0
CCNC(=O)NC(=O)/C(/C#N)=N/OC,57966-95-7,-3.220001283,-2.857015763,-2.650627859,-2.909214968,0,0.001128671,0.050758205,0,0.022236223,57966-95-7,57966-95-7,12358,32358,DTXSID6032358,Cymoxanil,CCNC(=O)NC(=O)/C(/C#N)=N/OC,"InChI=1S/C7H10N4O3/c1-3-9-7(13)10-6(12)5(4-8)11-14-2/h3H2,1-2H3,(H2,9,10,12,13)/b11-5+",XERJKGMBORTKEO-VZUCSPMQSA-N,0,0.9353,0.9205,0.008237368,0
COS(=O)(=O)OC,77-78-1,-2.312372482,-2.269898989,-2.63982366,-2.407365044,0,0.001108554,0.050308901,0,0.022034943,77-78-1,77-78-1,4055,24055,DTXSID5024055,Dimethyl sulfate,COS(=O)(=O)OC,"InChI=1S/C2H6O4S/c1-5-7(3,4)6-2/h1-2H3",VAYGXNSJCAHWJZ-UHFFFAOYSA-N,0,0.9539,0.937,0.004005356,0
CCC(=O)OCC,105-37-3,-2.532944309,-2.542024861,-2.626892187,-2.567287119,0,0.001084903,0.049774468,0,0.021796366,105-37-3,105-37-3,20110,40110,DTXSID1040110,Ethyl propionate,CCC(=O)OCC,"InChI=1S/C5H10O2/c1-3-5(6)7-4-2/h3-4H2,1-2H3",FKRCODPIKNYEAC-UHFFFAOYSA-N,0,0.9256,0.8953,0.004014242,0
CCNCCO,110-73-6,-2.56141772,-2.47157289,-2.626491195,-2.553160602,0,0.001084176,0.049757954,0,0.021789008,110-73-6,110-73-6,1922,21922,DTXSID9021922,2-(Ethylamino)ethanol,CCNCCO,"InChI=1S/C4H11NO/c1-2-5-3-4-6/h5-6H,2-4H2,1H3",MIJDSYMOBYNHOT-UHFFFAOYSA-N,0,0.9491,0.9333,0.005035337,0
